Date,Open,High,Low,Close,Volume,Adj Close
2003-04-10,44.669998,45.00,44.41,44.959999,3301400,20.247395
2003-04-09,43.50,44.68,43.50,44.169998,2989800,19.891624
2003-04-08,44.34,44.360001,43.84,44.209999,3478600,19.909638
2003-04-07,45.380001,45.380001,44.330002,44.330002,5393400,19.96368
2003-04-04,45.48,45.77,45.09,45.400002,4086800,20.445546
2003-04-03,46.099998,46.209999,45.32,45.43,4106800,20.459056
2003-04-02,46.369999,46.509998,45.669998,46.049999,3215600,20.738268
2003-04-01,45.650002,46.400002,45.560001,46.369999,4576800,20.882377
2003-03-31,46.75,46.93,45.50,45.50,6631800,20.49058
2003-03-28,44.599998,46.02,44.599998,46.00,8396400,20.715751
2003-03-27,43.900002,44.959999,43.799999,44.599998,5113800,20.085271
2003-03-26,44.43,44.68,43.50,44.00,12162600,19.815066
2003-03-25,44.200001,45.150002,44.200001,44.689999,5532400,20.125802
2003-03-24,44.50,44.900002,43.630001,43.950001,3728400,19.79255
2003-03-21,44.990002,45.07,43.98,44.50,5741200,20.040238
2003-03-20,44.299999,45.200001,43.779999,44.98,5099400,20.256402
2003-03-19,44.369999,44.610001,43.970001,44.299999,2537000,19.950169
2003-03-18,43.529999,44.41,42.970001,44.369999,5880800,19.981693
2003-03-17,43.599998,44.150002,43.029999,43.529999,4043800,19.603405
2003-03-14,43.900002,43.98,43.009998,43.41,3617200,19.549364
2003-03-13,44.189999,44.200001,43.02,43.759998,4393400,19.706983
2003-03-12,44.610001,44.610001,42.950001,43.830002,6723000,19.738509
2003-03-11,45.279999,45.599998,44.610001,44.610001,2628600,20.089775
2003-03-10,45.200001,45.799999,45.099998,45.119999,2827200,20.319449
2003-03-07,45.650002,46.110001,45.009998,45.52,3681200,20.454553
2003-03-06,46.119999,46.540001,45.830002,46.00,3744200,20.670243
2003-03-05,46.080002,46.450001,45.639999,46.25,3532200,20.782581
2003-03-04,45.700001,46.110001,45.400002,46.049999,2813400,20.69271
2003-03-03,46.099998,46.23,45.48,45.580002,3720600,20.481515
2003-02-28,45.720001,46.380001,45.639999,46.080002,3721400,20.706192
2003-02-27,46.099998,46.169998,45.169998,45.509998,3880000,20.450059
2003-02-26,45.599998,46.41,45.380001,45.830002,3621400,20.593853
2003-02-25,47.200001,47.50,45.630001,46.00,6304600,20.670243
2003-02-24,46.099998,47.240002,45.91,46.759998,6280400,21.01175
2003-02-21,44.50,46.00,44.400002,45.68,5721600,20.52645
2003-02-20,44.099998,44.509998,43.990002,44.32,3694400,19.915329
2003-02-19,43.599998,44.029999,43.369999,43.889999,2764200,19.722107
2003-02-18,43.00,43.880001,42.91,43.720001,2219200,19.645718
2003-02-14,42.91,43.130001,41.93,42.880001,3076600,19.268261
2003-02-13,42.50,43.119999,42.040001,42.880001,2820400,19.268261
2003-02-12,43.900002,44.009998,42.209999,42.240002,6372200,18.980676
2003-02-11,44.580002,44.970001,43.93,43.93,3945800,19.740082
2003-02-10,44.220001,44.709999,44.049999,44.549999,2926600,20.01868
2003-02-07,44.700001,44.849998,44.060001,44.220001,2335200,19.870395
2003-02-06,44.950001,45.150002,44.200001,44.549999,4907400,20.01868
2003-02-05,45.50,45.860001,44.799999,45.189999,3807200,20.306266
